;article_name;country;region;revision_id;article_quality;population
733;Martin Kuba;Czech Republic;;807394304.0;Stub;
734;Martin Říman;Czech Republic;;807394725.0;Stub;
735;Kateřina Valachová;Czech Republic;;807399097.0;Stub;
736;Vladimír Tošovský;Czech Republic;;807415625.0;Stub;
737;Pavel Svoboda;Czech Republic;;807416099.0;Start;
738;Petr Fiala;Czech Republic;;807420515.0;Start;
739;Vladimír Špidla;Czech Republic;;807462107.0;C;
10339;Timoteo Menéndez;Salvadoran;;566504165.0;Stub;
10340;Joaquín Escolán y Balibrera;Salvadoran;;679294949.0;Stub;
10341;Fermín Palacios;Salvadoran;;705353491.0;Stub;
10342;Eugenio Aguilar;Salvadoran;;705353565.0;Stub;
10343;Tomás Medina;Salvadoran;;705353584.0;Stub;
10344;Ramón Rodríguez (Salvadoran politician);Salvadoran;;705353647.0;Stub;
10345;Vicente Gómez;Salvadoran;;705353678.0;Stub;
10346;Lorenzo Zepeda;Salvadoran;;705353843.0;Stub;
10347;José María Peralta;Salvadoran;;705353896.0;Stub;
10348;Francisco Menéndez;Salvadoran;;705353975.0;Stub;
10349;Pedro José Escalón;Salvadoran;;705354095.0;Stub;
10350;Fernando Figueroa;Salvadoran;;705354112.0;Stub;
10351;Carlos Meléndez (politician);Salvadoran;;705354212.0;Stub;
10352;Fabio Castillo Figueroa;Salvadoran;;705385310.0;Stub;
10353;Ricardo Montenegro;Salvadoran;;706769596.0;Stub;
10354;Rafael Campo;Salvadoran;;707399758.0;Start;
10355;Miguel Santín del Castillo;Salvadoran;;707400213.0;Stub;
10356;Osmín Aguirre y Salinas;Salvadoran;;707403482.0;Stub;
10357;Eusebio Rodolfo Cordón Cea;Salvadoran;;707404888.0;Stub;
10358;Juan José Guzmán;Salvadoran;;707519272.0;Stub;
10359;Juan José Cañas;Salvadoran;;708089470.0;Stub;
10360;José Gregorio Salazar;Salvadoran;;710543364.0;Start;
10361;Diego Vigil Cocaña;Salvadoran;;710555824.0;Start;
10362;Nicolás Espinoza;Salvadoran;;710578840.0;Start;
10363;Pedro Barriere;Salvadoran;;710677703.0;Start;
10364;Joaquín de San Martín;Salvadoran;;710828020.0;Start;
10365;José Félix Quirós;Salvadoran;;714256648.0;Stub;
10366;Edgardo Carlos Suárez Mallagray;Salvadoran;;717903674.0;Stub;
10367;Aníbal Portillo;Salvadoran;;720419598.0;Stub;
10368;José Francisco Valiente;Salvadoran;;720478176.0;Stub;
10369;Diego de Holguín;Salvadoran;;720623176.0;Stub;
10370;Sigfrido Reyes Morales;Salvadoran;;720633452.0;Start;
10371;Manuel Enrique Araujo;Salvadoran;;723277343.0;Start;
10372;Joaquín Eufrasio Guzmán;Salvadoran;;730854147.0;Stub;
10373;Francisco Malespín;Salvadoran;;730864227.0;Stub;
10374;Rodrigo Ávila;Salvadoran;;733791467.0;Start;
10375;Mario Aguiñada Carranza;Salvadoran;;736491718.0;Start;
10376;David Rodríguez Rivera;Salvadoran;;738362225.0;Start;
10377;Carlos Ezeta;Salvadoran;;741190933.0;Stub;
10378;Andrés Ignacio Menéndez;Salvadoran;;742279612.0;Stub;
10379;Gerardo Barrios;Salvadoran;;743252984.0;Start;
10380;Rubén Zamora;Salvadoran;;748418081.0;Start;
10381;Antonio José Cañas;Salvadoran;;749973666.0;Start;
10382;José Atilio Benítez Parada;Salvadoran;;749976455.0;Stub;
10383;Violeta Menjívar;Salvadoran;;757618572.0;Start;
10384;Santiago González (politician);Salvadoran;;757977772.0;Stub;
10385;Rosa Amelia Guzmán;Salvadoran;;758287489.0;Start;
10386;Gloria Salguero Gross;Salvadoran;;758288293.0;C;
10387;David Joaquín Guzmán;Salvadoran;;765528693.0;Start;
10388;Francisco Gómez (El Salvador President);Salvadoran;;766757526.0;Start;
10389;Francisco Dueñas;Salvadoran;;769575358.0;Stub;
10390;Rafael Zaldívar;Salvadoran;;770682721.0;Start;
10391;Óscar Ortiz (El Salvador);Salvadoran;;774857245.0;Stub;
10392;José Damián Villacorta;Salvadoran;;777601256.0;Start;
10393;José Escolástico Marín;Salvadoran;;777602660.0;Stub;
10394;José María Cornejo;Salvadoran;;777612972.0;Start;
10395;José María Peralta Lagos;Salvadoran;;777613551.0;Stub;
10396;José María San Martín;Salvadoran;;777613737.0;Start;
10397;José María Silva;Salvadoran;;777613786.0;Start;
10398;Juan Manuel Rodríguez;Salvadoran;;777685186.0;Start;
10399;Juan Vicente Villacorta Díaz;Salvadoran;;777698313.0;Start;
10400;Juan José Daboub;Salvadoran;;778564487.0;C;
10401;José Arturo Vásquez Machado;Salvadoran;;779894617.0;Stub;
10402;Andrés del Valle;Salvadoran;;779931580.0;Start;
10403;Lilian Mercedes Letona;Salvadoran;;780552804.0;Start;
10404;Carlos Quintanilla Schmidt;Salvadoran;;780701356.0;Stub;
10405;Enrique Álvarez Córdova;Salvadoran;;781102914.0;Stub;
10406;Arturo Araujo;Salvadoran;;782520448.0;Stub;
10407;Rubén Alonso Rosales;Salvadoran;;782652818.0;Start;
10408;Mariano Prado;Salvadoran;;783472679.0;Start;
10409;Pío Romero Bosque;Salvadoran;;784506431.0;Stub;
10410;Alfonso Quiñónez Molina;Salvadoran;;785229840.0;Stub;
10411;Jorge Meléndez;Salvadoran;;786063735.0;Stub;
10412;Carmen Elena Figueroa;Salvadoran;;786068145.0;Stub;
10413;Felipe Codallos;Salvadoran;;786492357.0;Stub;
10414;Tomás Regalado (Salvadoran politician);Salvadoran;;786492366.0;Stub;
10415;Doroteo Vasconcelos;Salvadoran;;788264133.0;GA;
10416;Alfredo Cristiani;Salvadoran;;788447923.0;C;
10417;Óscar Osorio;Salvadoran;;791821555.0;Start;
10418;Lourdes Rodríguez de Flores;Salvadoran;;791907279.0;Stub;
10419;Álvaro Magaña;Salvadoran;;791907345.0;Stub;
10420;Salvador Castaneda Castro;Salvadoran;;791911972.0;B;
10421;Julio Adalberto Rivera Carballo;Salvadoran;;792385744.0;Start;
10422;Carlos Salazar Castro;Salvadoran;;793184472.0;Start;
10423;Maximiliano Hernández Martínez;Salvadoran;;793642670.0;C;
10424;Reynaldo Galindo Pohl;Salvadoran;;794052085.0;Stub;
10425;Ciro Cruz Zepeda;Salvadoran;;794459622.0;Start;
10426;Ana Ligia Mixco Sol de Saca;Salvadoran;;794561394.0;Start;
10427;Carlos Humberto Romero;Salvadoran;;794988963.0;Start;
10428;Ana María;Salvadoran;;795573859.0;Start;
10429;Arturo Armando Molina;Salvadoran;;796131598.0;Stub;
10430;Carlos Eugenio Vides Casanova;Salvadoran;;797151261.0;C;
10431;Miguel Álvarez Castro;Salvadoran;;798306895.0;Stub;
10432;José Guillermo García;Salvadoran;;798460321.0;Start;
10433;Marisol Argueta de Barillas;Salvadoran;;798896224.0;Start;
10434;René Emilio Ponce;Salvadoran;;799918049.0;Stub;
10435;Guillermo Ungo;Salvadoran;;800478736.0;Stub;
10436;Antonio Saca;Salvadoran;;802075785.0;C;
10437;Hugo Lindo;Salvadoran;;802944082.0;Start;
10438;Schafik Handal;Salvadoran;;803674894.0;Start;
10439;Ana Vilma de Escobar;Salvadoran;;803927035.0;C;
10440;Juan Lindo;Salvadoran;;804134156.0;Start;
10441;Mauricio Funes;Salvadoran;;804528819.0;GA;
10442;Vice President of El Salvador;Salvadoran;;804538892.0;Start;
10443;Francisco Flores Pérez;Salvadoran;;804606321.0;C;
10444;José Napoleón Duarte;Salvadoran;;804809409.0;C;
10445;Armando Calderón Sol;Salvadoran;;804991452.0;Start;
10446;Fidel Sánchez Hernández;Salvadoran;;805353238.0;Start;
10447;Rafael Antonio Gutiérrez;Salvadoran;;805474907.0;Start;
10448;Irma Dimas;Salvadoran;;806010405.0;Start;
10449;Manuel José Arce;Salvadoran;;806057984.0;Start;
10450;President of El Salvador;Salvadoran;;806101149.0;Stub;
10451;José Matías Delgado;Salvadoran;;806731535.0;C;
10452;Vanda Pignato;Salvadoran;;806958982.0;B;
10453;José María Lemus;Salvadoran;;807175924.0;Stub;
10454;Salvador Sánchez Cerén;Salvadoran;;807210786.0;C;
10455;Gervas Clay;Rhodesian;;574571582.0;Stub;
10456;Harry Davies (politician);Rhodesian;;669387487.0;Start;
10457;William Fairbridge;Rhodesian;;682576258.0;Start;
10458;Washington Malianga;Rhodesian;;711506001.0;Stub;
10459;Ronald Snapper;Rhodesian;;712233907.0;Stub;
10460;Gerald B. Clarke;Rhodesian;;747497059.0;Stub;
10461;Francis Chaplin;Rhodesian;;763530115.0;Stub;
10462;Roger Hawkins (politician);Rhodesian;;763533706.0;Start;
10463;George Mitchell (Rhodesia);Rhodesian;;763540238.0;Stub;
10464;John Landau;Rhodesian;;763870152.0;Stub;
10465;Byron Hove;Rhodesian;;763951988.0;Start;
10466;Hilary Squires;Rhodesian;;766847256.0;Stub;
10467;Cecil Dennistoun Burney;Rhodesian;;774837666.0;Stub;
10468;Mark Partridge;Rhodesian;;780260926.0;Stub;
10469;Prime Minister of Rhodesia;Rhodesian;;782602484.0;Start;
10470;Leo Cardwell Ross;Rhodesian;;783150296.0;Start;
10471;Josiah Gondo;Rhodesian;;783150589.0;C;
10472;Dunduzu Chisiza;Rhodesian;;783301534.0;B;
10473;Allan Ross Welsh;Rhodesian;;784562559.0;C;
10474;John Moore Caldicott;Rhodesian;;784757829.0;Start;
10475;John Ralph Beaumont;Rhodesian;;784758963.0;Start;
10476;Leonard Ray Morgan;Rhodesian;;784769027.0;Start;
10477;Raleigh Grey;Rhodesian;;784826325.0;Start;
10478;Robert Clarkson Tredgold;Rhodesian;;784830601.0;Start;
10479;Robert James Hudson;Rhodesian;;784831407.0;B;
10480;William Harper (Rhodesian politician);Rhodesian;;784870217.0;FA;
10481;Rowan Cronjé;Rhodesian;;784974615.0;GA;
10482;Edgar Whitehead;Rhodesian;;786601705.0;Start;
10483;Henry Hamilton Beamish;Rhodesian;;786659504.0;Start;
10484;Lionel Cripps;Rhodesian;;787105083.0;Start;
10485;A. R. Colquhoun;Rhodesian;;787147677.0;Start;
10486;John McChlery;Rhodesian;;787854502.0;Stub;
10487;Jeremiah Chirau;Rhodesian;;789545107.0;Stub;
10488;Winston Field;Rhodesian;;789689591.0;C;
10489;Howard Unwin Moffat;Rhodesian;;790010191.0;Start;
10490;Ken Flower;Rhodesian;;794528943.0;Start;
10491;Andrew Skeen (Rhodesia);Rhodesian;;795348776.0;Stub;
10492;Hugh Beadle;Rhodesian;;795369277.0;FA;
10493;Hugh Marshall Hole;Rhodesian;;795483112.0;Start;
10494;Roy Welensky;Rhodesian;;797314307.0;FA;
10495;Abel Muzorewa;Rhodesian;;797407618.0;C;
10496;Signatories of Rhodesia's Unilateral Declaration of Independence;Rhodesian;;797546082.0;Start;
10497;Jack Howman;Rhodesian;;798384751.0;Stub;
10498;Ethel Tawse Jollie;Rhodesian;;798492985.0;Start;
10499;Alan David Butler;Rhodesian;;799332728.0;Start;
10500;Jack William Pithey;Rhodesian;;799548505.0;Start;
10501;President of Rhodesia;Rhodesian;;799548556.0;C;
10502;Denis Walker;Rhodesian;;799608339.0;C;
10503;James Cowden;Rhodesian;;800407772.0;Stub;
10504;Herbert Chitepo;Rhodesian;;800416336.0;C;
10505;Thomas Nangle;Rhodesian;;800479460.0;Start;
10506;Timothy Stamps;Rhodesian;;800986051.0;C;
10507;Sam Levy;Rhodesian;;801716406.0;Start;
10508;Humphrey Gibbs;Rhodesian;;801718040.0;C;
10509;P. K. van der Byl;Rhodesian;;801795215.0;FA;
10510;Clifford Dupont;Rhodesian;;801876681.0;C;
10511;Lance Smith (politician);Rhodesian;;802151785.0;GA;
10512;Desmond Lardner-Burke;Rhodesian;;802930161.0;B;
10513;John Bredenkamp;Rhodesian;;803620246.0;C;
10514;Frank Rhodes (British Army officer);Rhodesian;;804040348.0;Start;
10515;Ernest Lucas Guest;Rhodesian;;804101492.0;FA;
10516;Godfrey Chidyausiku;Rhodesian;;804650400.0;Start;
10517;Richard Hope Hall;Rhodesian;;804743937.0;GA;
10518;Crosaire;Rhodesian;;804806363.0;Start;
10519;Gaston Thornicroft;Rhodesian;;804877226.0;Start;
10520;James Graham, 7th Duke of Montrose;Rhodesian;;805372073.0;C;
10521;Ahrn Palley;Rhodesian;;805960143.0;C;
10522;Allan Savory;Rhodesian;;806153816.0;GA;
10523;Ian Smith;Rhodesian;;806532780.0;FA;
10524;Garfield Todd;Rhodesian;;807097467.0;C;
10525;Douglas Hamilton Ritchie;Rhodesian;;807159903.0;C;
10526;Godfrey Huggins;Rhodesian;;807160082.0;C;
10527;George Hackwill;Rhodesian;;807283218.0;C;
10528;Henry Everard;Rhodesian;;807425613.0;Start;
10529;John Wrathall;Rhodesian;;807425747.0;C;
11328;Mavua Mudima;Congo, Dem. Rep. of;;592289232.0;Stub;
11329;List of provincial governors of the Democratic Republic of the Congo;Congo, Dem. Rep. of;;663088604.0;Stub;
11330;Eugène Diomi Ndongala Nzomambu;Congo, Dem. Rep. of;;705390654.0;Stub;
11331;Théophile Mbemba Fundu;Congo, Dem. Rep. of;;705707214.0;Stub;
